word1	word2	label	relation	fold
blouse	arm	False	other	val
jacket	good	True	hyper	val
artifact	bomb	False	other	val
plum	produce	True	hyper	val
donkey	creature	True	hyper	val
end	shovel	False	other	val
screwdriver	drain	False	other	val
spinach	vegetable	True	hyper	val
hat	good	True	hyper	val
swan	waterfowl	True	hyper	val
coyote	predator	True	hyper	val
warehouse	villa	False	other	val
inn	pub	False	other	val
villa	wood	False	other	val
television	shovel	False	other	val
bass	cello	False	other	val
pear	produce	True	hyper	val
garlic	produce	True	hyper	val
jet	color	False	other	val
scooter	artefact	True	hyper	val
sweater	apparel	True	hyper	val
leaf	beet	False	other	val
animal	alligator	False	other	val
hatchet	cutlery	True	hyper	val
food	cranberry	False	other	val
bicycle	car	False	other	val
yacht	train	False	other	val
good	stove	False	other	val
bag	incontinence	False	other	val
washer	radio	False	other	val
pistol	weapon	True	hyper	val
tool	shovel	False	other	val
boy	glider	False	other	val
spade	shovel	False	other	val
dagger	bomb	False	other	val
blouse	object	True	hyper	val
body	violin	False	other	val
parsley	minibus	False	other	val
racism	tanker	False	other	val
object	bed	False	other	val
carrot	produce	True	hyper	val
demonstration	salmon	False	other	val
bird	woodpecker	False	other	val
kitchenware	fork	False	other	val
scarf	garment	True	hyper	val
pig	animal	True	hyper	val
cottage	edifice	True	hyper	val
head	beetle	False	other	val
poplar	angiosperm	True	hyper	val
bus	contracting	False	other	val
whale	mammal	True	hyper	val
artifact	spade	False	other	val
cucumber	vegetable	True	hyper	val
windshield	van	False	other	val
goldfish	vertebrate	True	hyper	val
housing	villa	False	other	val
dismay	vulture	False	other	val
mug	object	True	hyper	val
trip	bowl	False	other	val
vest	good	True	hyper	val
stump	pine	False	other	val
telephone	stove	False	other	val
sieve	tool	True	hyper	val
cod	fish	True	hyper	val
produce	spinach	False	other	val
apple	peach	False	other	val
trout	phobia	False	other	val
hatchet	artifact	True	hyper	val
pear	plum	False	other	val
furnishing	sofa	False	other	val
artefact	bomber	False	other	val
carp	animal	True	hyper	val
cloak	stigma	False	other	val
woodpecker	wheel	False	other	val
claw	eagle	False	other	val
horse	head	False	other	val
plumage	penguin	False	other	val
cedar	plant	True	hyper	val
camcorder	yacht	False	other	val
cottage	castle	False	other	val
coyote	creature	True	hyper	val
gorilla	mammal	True	hyper	val
apparel	jacket	False	other	val
circuit	television	False	other	val
knife	utensil	True	hyper	val
horse	mammal	True	hyper	val
building	pub	False	other	val
firearm	revolver	False	other	val
phone	artifact	True	hyper	val
crow	bird	True	hyper	val
jacket	shirt	False	other	val
tuna	goldfish	False	other	val
transport	bus	False	other	val
elm	oak	False	other	val
guitar	artefact	True	hyper	val
elephant	vertebrate	True	hyper	val
creature	cod	False	other	val
creature	goat	False	other	val
craft	fighter	False	other	val
rat	creature	True	hyper	val
dove	bird	True	hyper	val
television	channel	False	other	val
whale	vertebrate	True	hyper	val
clove	garlic	False	other	val
store	hotel	False	other	val
sparrow	vertebrate	True	hyper	val
sweater	underpants	False	other	val
artifact	motorcycle	False	other	val
box	artifact	True	hyper	val
vertebrate	herring	False	other	val
rifle	weapon	True	hyper	val
vest	pc	False	other	val
spoon	artifact	True	hyper	val
broccoli	produce	True	hyper	val
knife	fork	False	other	val
cat	carnivore	True	hyper	val
tail	cod	False	other	val
justice	jacket	False	other	val
sieve	glass	False	other	val
owner	cottage	False	other	val
jar	artifact	True	hyper	val
plum	apple	False	other	val
alligator	snake	False	other	val
restaurant	cottage	False	other	val
sweater	wear	True	hyper	val
cauliflower	food	True	hyper	val
robe	ruminant	False	other	val
fold	sweater	False	other	val
swan	crow	False	other	val
wood	desk	False	other	val
catfish	fish	True	hyper	val
missile	artifact	True	hyper	val
villa	pub	False	other	val
cypress	tree	True	hyper	val
helicopter	orientation	False	other	val
missile	weapon	True	hyper	val
hospital	edifice	True	hyper	val
vehicle	ambulance	False	other	val
radish	produce	True	hyper	val
priest	pistol	False	other	val
saxophone	instrument	True	hyper	val
wasp	beetle	False	other	val
van	transport	True	hyper	val
box	mug	False	other	val
object	dresser	False	other	val
object	phone	False	other	val
oven	commodity	True	hyper	val
mug	whisky	False	other	val
goose	animal	True	hyper	val
accommodation	castle	False	other	val
shovel	utensil	True	hyper	val
vulture	predator	True	hyper	val
sweater	button	False	other	val
moth	dairy	False	other	val
crow	swan	False	other	val
banana	food	True	hyper	val
hat	wear	True	hyper	val
rifle	revolver	False	other	val
crow	vertebrate	True	hyper	val
food	grapefruit	False	other	val
dolphin	parliament	False	other	val
freezer	appliance	True	hyper	val
goat	mammal	True	hyper	val
van	tanker	False	other	val
object	guitar	False	other	val
dresser	artefact	True	hyper	val
hat	apparel	True	hyper	val
jet	artifact	True	hyper	test
saw	object	True	hyper	test
sofa	object	True	hyper	test
dove	pheasant	False	other	test
turtle	eye	False	other	test
cranberry	fruit	True	hyper	test
sweater	covering	True	hyper	test
ferry	boat	True	hyper	test
oak	tree	True	hyper	test
train	artifact	True	hyper	test
stereo	object	True	hyper	test
building	villa	False	other	test
goose	bird	True	hyper	test
back	robe	False	other	test
rabbit	rat	False	other	test
animal	trout	False	other	test
artefact	stereo	False	other	test
transport	jet	False	other	test
arm	jacket	False	other	test
stereo	amplifier	False	other	test
battleship	artefact	True	hyper	test
muzzle	revolver	False	other	test
hammer	nausea	False	other	test
knife	artefact	True	hyper	test
cat	pet	True	hyper	test
sparrow	creature	True	hyper	test
rabbit	beast	True	hyper	test
swan	robin	False	other	test
ferry	vessel	True	hyper	test
dress	zone	False	other	test
battleship	lack	False	other	test
scavenger	crow	False	other	test
accommodation	cottage	False	other	test
missile	vehicle	True	hyper	test
axe	artefact	True	hyper	test
couch	bed	False	other	test
artifact	sweater	False	other	test
oven	timer	False	other	test
jar	plate	False	other	test
pigeon	animal	True	hyper	test
corn	food	True	hyper	test
spoon	wrench	False	other	test
vehicle	bomber	False	other	test
car	conveyance	True	hyper	test
lion	vertebrate	True	hyper	test
bear	creature	True	hyper	test
spade	sieve	False	other	test
cockroach	bust	False	other	test
tail	fox	False	other	test
passenger	hawk	False	other	test
bottom	wardrobe	False	other	test
giraffe	violin	False	other	test
cathedral	pulse	False	other	test
bird	pigeon	False	other	test
bomber	plane	True	hyper	test
evergreen	cypress	False	other	test
spear	arm	True	hyper	test
penguin	teddy	False	other	test
institution	library	False	other	test
fork	artefact	True	hyper	test
bird	sparrow	False	other	test
couch	furnishing	True	hyper	test
fighter	truck	False	other	test
jet	craft	True	hyper	test
battleship	vehicle	True	hyper	test
artifact	spear	False	other	test
sanctity	phone	False	other	test
shirt	hieroglyphic	False	other	test
dresser	plating	False	other	test
piano	investor	False	other	test
missile	arm	True	hyper	test
hat	object	True	hyper	test
radio	appliance	True	hyper	test
good	cloak	False	other	test
jacket	artifact	True	hyper	test
squirrel	rodent	True	hyper	test
castle	defense	True	hyper	test
dagger	artefact	True	hyper	test
peach	fruit	True	hyper	test
bed	artefact	True	hyper	test
tiger	animal	True	hyper	test
cat	goat	False	other	test
jet	ambulance	False	other	test
penguin	animal	True	hyper	test
jacket	raincoat	False	other	test
ambulance	runner-up	False	other	test
lodging	cottage	False	other	test
coat	good	True	hyper	test
cockroach	insect	True	hyper	test
mug	bottle	False	other	test
washer	affluence	False	other	test
catfish	vertebrate	True	hyper	test
goat	herbivore	True	hyper	test
squirrel	creature	True	hyper	test
