word1	word2	label	fold
bird	cookie	False	val
condominium	housing	True	val
aquarium	container	True	val
antibiotic	drug	True	val
animal	reindeer	False	val
food	pizza	False	val
liquor	liquid	True	val
shrine	captivity	False	val
agony	decoration	False	val
tench	animal	True	val
fruit	illness	False	val
traction	phenomenon	True	val
drizzle	rain	True	val
hare	animal	True	val
sport	golf	False	val
leader	pope	False	val
limb	leg	False	val
clubhouse	building	True	val
frigate	vehicle	True	val
coaching	chart	False	val
annals	periodical	True	val
mater	ancestor	True	val
amphetamine	drug	True	val
classroom	music	False	val
mother	ancestor	True	val
statement	spouse	False	val
fullback	athlete	True	val
dancer	autobiography	False	val
dentistry	medicine	True	val
vertebrate	eagle	False	val
stipend	payment	True	val
solid	wood	False	val
aphid	insect	True	val
sport	football	False	val
supercomputer	computer	True	val
comedian	performer	True	val
gall	disease	True	val
vehicle	gunboat	False	val
doctrine	privateer	False	val
tissue	skin	False	val
theater	building	True	val
immunology	science	True	val
seaman	sailor	True	val
aircraft	letter	False	val
jam	trait	False	val
vicarage	dwelling	True	val
worker	airman	False	val
animal	calf	False	val
snippet	piece	True	val
cellulose	chemical	True	val
frustration	terror	False	val
polymerase	enzyme	True	val
relative	leader	False	val
handgun	gun	True	val
magpie	bird	True	val
cocktail	affection	False	val
housing	percussionist	False	val
ink	liquid	True	val
information	propaganda	False	val
polyethylene	resin	True	val
baritone	adrenaline	False	val
vertebrate	cow	False	val
company	institution	True	val
conjecture	idea	True	val
stag	virus	False	val
sack	bag	True	val
oyster	science	False	val
slalom	barrier	False	val
tie	clothing	True	val
melon	solid	True	val
container	pc	False	val
performer	commodity	False	val
man	adult	True	val
headline	text	True	val
tool	celery	False	val
dragonfly	oil	False	val
apathy	magnitude	False	val
wave	tsunami	False	val
song	piper	False	val
sport	racing	False	val
spiral	curve	True	val
cold	illness	True	val
spinach	herb	True	val
pizza	food	True	val
granny	relative	True	val
camera	equipment	True	val
hose	commodity	True	val
gent	entertainer	False	val
