word1	word2	label	fold
lansdale	pennsylvania	False	val
perdue	saskatchewan	False	val
savara	dravidian	True	val
belong	album	True	val
albulina	lycaenidae	False	val
hurst	illinois	False	val
pretender	claimant	True	val
staccato	legato	False	val
cuba	city	True	val
lanzhou	gansu	False	val
svalbard	archipelago	True	val
casoli	italy	False	val
copenhagen	london	False	val
bursledon	hampshire	False	val
lidu	village	True	val
stars	memphis	False	val
chopra	darjeeling	False	val
minneapolis	roseville	False	val
w.a.s.p.	album	True	val
behavior	activity	True	val
zaragoza	guatemala	False	val
bazooka	band	True	val
kwax	oregon	False	val
poetic	poetry	False	val
bard	loire	False	val
ratisbon	regensburg	False	val
banana	musa	False	val
adidas	clothing	False	val
torremaggiore	italy	False	val
bissell	company	True	val
england	britain	False	val
citizenship	behavior	True	val
neustadt	bremen	False	val
independence	village	True	val
wptx	maryland	False	val
indri	species	False	val
orange	citrus	False	val
gartner	research	False	val
ayvora	village	True	val
director	curator	False	val
cusco	puno	False	val
segusino	veneto	False	val
sankalp	india	False	val
raduzhny	russia	False	val
recovery	apologetix	False	val
namayesh	iran	False	val
orphan	thriller	False	val
visu	writer	False	val
wwmt	television	False	val
gorge	ravine	True	val
altar	boris	False	val
blueberry	plant	False	val
luxembourg	euro	False	val
astronomy	washington	False	val
avant	album	True	val
yinling	model	False	val
spirit	malayalam	False	val
lochgelly	fife	False	val
holland	california	False	val
riesling	germany	False	val
fortran	pl/i	False	val
salekhard	russia	False	val
word	information	True	val
roncaglia	piacenza	False	val
airco	company	True	val
kiritimati	kiribati	False	val
suseni	romania	False	val
unit	brisbane	False	val
boskone	boston	False	val
prose	genre	True	val
dino	ferrari	False	val
deyhuk	iran	False	val
desdemona	uranus	False	val
oise	beauvais	False	val
morley	england	False	val
anarak	iran	False	val
tokuma	company	True	val
point	term	False	val
paganini	italy	False	val
kube	seattle	False	val
sophocles	tragedy	False	val
march	advancement	True	val
physidae	family	False	val
felinfoel	wales	False	val
sotades	maroneia	False	val
retribution	novel	False	val
grimault	france	False	val
wyrzysk	poland	False	val
oaks	oklahoma	False	val
articulation	trill	False	val
murg	river	True	val
rose	rosaceae	False	val
aoxomoxoa	dead	False	val
millionaire	work	True	val
pichucalco	mexico	False	val
vorbeck	germany	False	val
affoltern	switzerland	False	val
thegn	person	True	val
monastery	scriptorium	False	val
shatsk	ukraine	False	val
frontpage	drama	False	val
strassburg	strasbourg	False	val
chelonoidis	genus	False	val
barra	scotland	False	val
wium	macomb	False	val
fallacies	fallacy	False	val
nedlloyd	company	True	val
phoenix	whaler	True	val
malignancies	cancer	False	val
chapeltoun	ayrshire	False	val
dedication	consecration	False	val
keshit	iran	False	val
kingston	jamaica	False	val
mampong	ghana	False	val
cudworth	saskatchewan	False	val
mclennan	alberta	False	val
kakhovka	ukraine	False	val
terrorist	india	False	val
research	investigation	True	val
earth	love	False	val
meissen	saxony	False	val
scutinanthe	plant	False	val
kyushu	nagasaki	False	val
soton	southampton	False	val
puffleg	hummingbird	False	val
imus	cavite	False	val
echo	trapt	False	val
