word1	word2	label	fold
battleship	insecurity	False	val
shovel	spokesperson	False	val
dove	alleyway	False	val
cloak	sleeve	False	val
pheasant	foot	False	val
table	chair	False	val
crow	overdrive	False	val
rabbit	dolphin	False	val
sweater	delegate	False	val
bag	domination	False	val
shirt	star	False	val
tuna	carp	False	val
celery	bombardment	False	val
castle	edifice	True	val
pheasant	implant	False	val
dolphin	clipper	False	val
whale	fox	False	val
train	freshman	False	val
bag	component	False	val
woodpecker	blackbird	False	val
pineapple	skin	False	val
axe	sieve	False	val
cod	seafood	True	val
revolver	purveyor	False	val
strawberry	blueberry	False	val
violin	peg	False	val
ambulance	wasp	False	val
corkscrew	orthodox	False	val
knife	scissors	False	val
coyote	leg	False	val
lemon	crosse	False	val
owl	verandah	False	val
beetle	head	False	val
trumpet	clarinet	False	val
jacket	covering	True	val
horse	horseback	False	val
dolphin	salmon	False	val
cucumber	mischief	False	val
glider	offering	False	val
bomb	levy	False	val
cow	expansion	False	val
willow	extremity	False	val
giraffe	nil	False	val
goose	wing	False	val
blouse	acorn	False	val
ambulance	constituent	False	val
dresser	dealer	False	val
wrench	Croatia	False	val
spade	hammer	False	val
tanker	battleship	False	val
tiger	claw	False	val
musket	holder	False	val
cow	creature	True	val
turnip	parsley	False	val
revolver	grenade	False	val
knife	saw	False	val
garlic	llama	False	val
bear	whale	False	val
spear	shotgun	False	val
hawk	christmas	False	val
moth	colon	False	val
sieve	scalp	False	val
yacht	tanker	False	val
corkscrew	Gael	False	val
motorcycle	lifespan	False	val
toaster	legality	False	val
apricot	food	True	val
potato	cucumber	False	val
radio	spray	False	val
saw	baroness	False	val
banana	indiscretion	False	val
banana	anti-racism	False	val
beaver	test	False	val
pub	whistle	False	val
freezer	chalk	False	val
cranberry	over-the-air	False	val
musket	UTC	False	val
cannon	million	False	val
goose	woodpecker	False	val
salmon	tuna	False	val
phone	dishwasher	False	val
coyote	tambourine	False	val
dresser	cut	False	val
corkscrew	napkin	False	val
swan	post-graduate	False	val
lime	citrus	True	val
stove	entertainment	False	val
lion	cue	False	val
cockroach	vols	False	val
bomber	railroad	False	val
owl	claw	False	val
frog	secure	False	val
pub	dissenter	False	val
horse	muzzle	False	val
rat	autumn	False	val
goat	flesh	False	val
lettuce	ward	False	val
truck	gladiator	False	val
fighter	wing	False	val
ambulance	gap	False	val
blouse	poverty	False	val
lime	vitamin	False	val
cod	column	False	val
hospital	elevator	False	val
hawk	genesis	False	val
frigate	vehicle	True	val
sieve	net	False	val
ambulance	bonnet	False	val
pheasant	Pakistani	False	val
cypress	evergreen	True	val
violin	crawl	False	val
van	payee	False	val
cannon	bore	False	val
dagger	pommel	False	val
frog	adventurer	False	val
lion	horse	False	val
cannon	politician	False	val
villa	crime	False	val
cat	competence	False	val
beetle	request	False	val
pheasant	pediatrician	False	val
elephant	skin	False	val
musket	shotgun	False	val
